 #--- Initial_population -----------------------------
     Omega        hs        n         ec0       alpha     beta      rat_ed    rat_ei
     33.52      1.16      0.24      1.05      0.19      1.19      1.10      0.58
     33.56      1.33      0.24      1.03      0.20      1.24      1.11      0.57
     33.30      1.41      0.25      1.04      0.20      1.24      1.10      0.57
     33.52      1.37      0.24      1.03      0.20      1.23      1.11      0.57
     33.62      1.30      0.24      1.04      0.19      1.22      1.10      0.57
     33.53      1.47      0.24      1.06      0.19      1.21      1.10      0.57
     33.61      1.38      0.25      1.04      0.19      1.23      1.10      0.57
     33.46      1.43      0.24      1.03      0.20      1.28      1.10      0.58
     33.63      1.43      0.24      1.03      0.19      1.26      1.11      0.57
     33.60      1.36      0.24      1.02      0.20      1.22      1.09      0.57
     33.53      1.42      0.23      1.04      0.21      1.33      1.11      0.57
     33.59      1.28      0.24      1.05      0.20      1.21      1.10      0.58
     33.38      1.42      0.24      1.02      0.19      1.27      1.10      0.58
     33.64      1.24      0.24      1.05      0.19      1.21      1.10      0.57
     33.49      1.43      0.25      1.04      0.19      1.23      1.10      0.57
     33.53      1.43      0.24      1.04      0.19      1.21      1.10      0.57
     33.53      1.37      0.24      1.04      0.19      1.28      1.09      0.56
     33.67      1.40      0.24      1.04      0.19      1.23      1.09      0.56
     33.54      1.31      0.25      1.04      0.19      1.19      1.09      0.57
     33.59      1.41      0.24      1.04      0.19      1.25      1.10      0.58
     33.54      1.38      0.24      1.04      0.19      1.32      1.10      0.57
     33.47      1.41      0.24      1.02      0.20      1.23      1.10      0.57
     33.53      1.41      0.25      1.04      0.19      1.22      1.09      0.57
     33.52      1.31      0.25      1.05      0.19      1.22      1.10      0.57
     33.51      1.34      0.25      1.04      0.19      1.24      1.09      0.57
     33.49      1.26      0.25      1.04      0.19      1.25      1.10      0.57
     33.52      1.30      0.25      1.04      0.20      1.24      1.10      0.57
     33.49      1.36      0.25      1.04      0.19      1.23      1.11      0.57
     33.50      1.41      0.24      1.04      0.20      1.28      1.10      0.57
     33.56      1.29      0.24      1.03      0.20      1.23      1.10      0.57
     33.50      1.38      0.24      1.03      0.20      1.23      1.10      0.56
     33.62      1.45      0.24      1.02      0.21      1.29      1.11      0.57
     33.63      1.40      0.24      1.03      0.20      1.27      1.11      0.57
     33.56      1.20      0.24      1.04      0.19      1.22      1.10      0.58
     33.61      1.42      0.25      1.04      0.19      1.24      1.10      0.57
     33.67      1.36      0.24      1.03      0.19      1.25      1.10      0.57
     33.55      1.37      0.24      1.03      0.20      1.24      1.10      0.57
     33.53      1.23      0.24      1.04      0.19      1.23      1.10      0.57
     33.46      1.34      0.24      1.04      0.19      1.19      1.10      0.57
     33.42      1.27      0.25      1.04      0.19      1.21      1.10      0.57
     33.50      1.38      0.25      1.03      0.20      1.21      1.11      0.58
     33.64      1.27      0.25      1.04      0.19      1.22      1.10      0.57
     33.50      1.20      0.25      1.04      0.19      1.20      1.10      0.57
     33.52      1.55      0.25      1.05      0.19      1.20      1.09      0.56
     33.66      1.14      0.25      1.06      0.19      1.20      1.09      0.57
     33.46      1.43      0.25      1.03      0.19      1.25      1.10      0.57
     33.67      1.36      0.24      1.04      0.19      1.23      1.10      0.57
     33.63      1.28      0.25      1.03      0.20      1.21      1.10      0.57
     33.53      1.39      0.24      1.05      0.20      1.28      1.10      0.57
     33.61      1.42      0.24      1.03      0.19      1.25      1.10      0.58
     33.49      1.27      0.24      1.03      0.19      1.23      1.10      0.57
     33.39      1.32      0.24      1.03      0.20      1.20      1.10      0.57
     33.48      1.30      0.24      1.04      0.20      1.23      1.10      0.57
     33.52      1.39      0.25      1.03      0.19      1.21      1.09      0.57
     33.49      1.52      0.24      1.04      0.20      1.27      1.09      0.57
     33.58      1.37      0.25      1.03      0.19      1.25      1.11      0.56
     33.55      1.27      0.25      1.04      0.19      1.22      1.10      0.57
     33.59      1.34      0.24      1.04      0.19      1.27      1.10      0.58
     33.61      1.31      0.25      1.04      0.19      1.24      1.10      0.57
     33.57      1.29      0.25      1.04      0.19      1.21      1.10      0.56
     33.62      1.24      0.24      1.04      0.19      1.22      1.10      0.57
     33.66      1.30      0.24      1.03      0.20      1.29      1.10      0.57
     33.54      1.46      0.24      1.04      0.19      1.23      1.10      0.56
     33.39      1.39      0.24      1.03      0.21      1.23      1.10      0.58
     33.61      1.37      0.24      1.04      0.19      1.23      1.11      0.57
     33.56      1.43      0.25      1.04      0.20      1.21      1.10      0.57
     33.65      1.40      0.24      1.03      0.20      1.26      1.10      0.57
     33.44      1.29      0.24      1.05      0.19      1.19      1.09      0.57
     33.42      1.53      0.24      1.02      0.20      1.26      1.10      0.58
     33.47      1.28      0.24      1.04      0.21      1.21      1.10      0.57
     33.68      1.21      0.24      1.05      0.20      1.27      1.11      0.58
     33.49      1.52      0.24      1.04      0.20      1.28      1.09      0.57
     33.52      1.47      0.24      1.03      0.20      1.21      1.10      0.58
     33.54      1.36      0.24      1.04      0.20      1.23      1.09      0.58
     33.48      1.27      0.24      1.04      0.20      1.21      1.10      0.57
     33.58      1.35      0.24      1.03      0.19      1.29      1.10      0.57
     33.47      1.24      0.24      1.05      0.19      1.26      1.10      0.58
     33.49      1.37      0.24      1.03      0.20      1.21      1.11      0.57
     33.61      1.33      0.24      1.04      0.19      1.22      1.10      0.57
     33.60      1.47      0.25      1.04      0.19      1.22      1.09      0.57
     33.49      1.30      0.24      1.04      0.19      1.25      1.10      0.58
     33.55      1.34      0.24      1.04      0.20      1.23      1.10      0.57
     33.60      1.62      0.24      1.03      0.20      1.22      1.10      0.57
     33.49      1.13      0.25      1.04      0.19      1.22      1.09      0.57
     33.55      1.35      0.25      1.04      0.20      1.23      1.10      0.57
     33.51      1.27      0.25      1.04      0.19      1.21      1.10      0.56
     33.55      1.32      0.25      1.03      0.19      1.22      1.10      0.57
     33.47      1.53      0.25      1.04      0.19      1.19      1.09      0.57
     33.44      1.33      0.25      1.04      0.20      1.22      1.10      0.57
     33.58      1.35      0.24      1.04      0.19      1.22      1.10      0.57
     33.57      1.24      0.25      1.04      0.20      1.24      1.10      0.57
     33.47      1.44      0.24      1.03      0.19      1.21      1.11      0.57
     33.52      1.35      0.24      1.03      0.21      1.23      1.10      0.57
     33.51      1.39      0.24      1.03      0.21      1.26      1.11      0.57
     33.67      1.49      0.24      1.04      0.19      1.23      1.10      0.57
     33.63      1.39      0.25      1.03      0.20      1.22      1.10      0.57
     33.53      1.27      0.24      1.02      0.21      1.23      1.09      0.57
     33.54      1.16      0.25      1.05      0.19      1.20      1.09      0.56
     33.43      1.52      0.24      1.04      0.21      1.29      1.10      0.58
     33.58      1.63      0.25      1.03      0.20      1.24      1.10      0.57
     33.49      1.38      0.24      1.04      0.20      1.26      1.10      0.57
     33.47      1.45      0.25      1.05      0.20      1.22      1.10      0.57
     33.58      1.43      0.24      1.03      0.20      1.25      1.11      0.56
     33.51      1.40      0.25      1.04      0.19      1.23      1.10      0.56
     33.49      1.23      0.24      1.04      0.19      1.25      1.10      0.57
     33.59      1.39      0.24      1.03      0.21      1.27      1.11      0.58
     33.49      1.25      0.25      1.04      0.19      1.24      1.10      0.57
     33.64      1.33      0.25      1.03      0.19      1.21      1.10      0.57
     33.52      1.41      0.25      1.03      0.20      1.24      1.09      0.57
     33.54      1.40      0.25      1.04      0.19      1.21      1.11      0.57
     33.54      1.42      0.24      1.05      0.20      1.23      1.10      0.58
     33.50      1.51      0.24      1.04      0.19      1.23      1.09      0.57
     33.53      1.34      0.24      1.05      0.19      1.28      1.10      0.57
     33.46      1.37      0.24      1.04      0.21      1.25      1.10      0.57
     33.49      1.34      0.24      1.03      0.20      1.23      1.11      0.57
     33.58      1.39      0.24      1.04      0.19      1.29      1.11      0.58
     33.54      1.37      0.25      1.04      0.19      1.23      1.10      0.57
     33.51      1.40      0.25      1.03      0.20      1.26      1.10      0.57
     33.54      1.25      0.24      1.04      0.20      1.23      1.10      0.58
     33.66      1.37      0.25      1.04      0.19      1.22      1.10      0.57
     33.63      1.26      0.25      1.03      0.19      1.24      1.10      0.58
     33.59      1.25      0.24      1.04      0.20      1.22      1.10      0.57
     33.61      1.35      0.24      1.03      0.20      1.28      1.10      0.57
     33.67      1.39      0.25      1.03      0.19      1.21      1.10      0.57
     33.48      1.25      0.24      1.05      0.19      1.25      1.10      0.57
